freq,indic_de,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,AVG,AD	65908 	66089 	66747 	69740 	74598 	77712 	79886 	82180 	83811 	84283 	84549 	78115 	77181 	: 	: 	: 	72419 e	: 	75486 e	76860 e	: 	: 	80562 	: 
A,AVG,AL	3060173 	3060169 	3051006 	3039612 	3026933 	3011482 	2992542 	2970011 	2947311 	2927515 	2913018 	2905185 	2900389 	2895082 	2889095 	2880694 	2876092 	2873458 	2866376 	2854191 	2837848 	2811667 	2777689 	: 
A,AVG,AM	3221100 	3214100 	3211600 	3211250 	3214000 	3217517 	3221094 	3226520 	3234031 	3243729 	3256066 	3268468 	: 	: 	: 	3004588 	2992364 	2979442 	2969001 	2962482 	2961473 	: 	: 	: 
A,AVG,AT	8011566 	8042293 	8081957 	8121423 	8171966 	8227829 	8268641 	8295487 	8321496 	8343323 	8363404 	8391643 	8429991 	8479823 	8546356 	8642699 	8736668 	8797566 	8840521 	8879920 	8916864 	8955797 	9041851 	: 
A,AVG,AZ	8048600 	8111200 	8171950 	8234100 	8306500 	8391850 	8484550 	8581300 	8763400 	8947243 	9054332 	9173082 	9295784 	9416801 	9535079 	9649341 	9757812 	9854033 	9939771 	10024283 	10093121 	10137750 	10141756 	: 
A,AVG,BA	3771401 	3801442 	3821758 	3833882 	3839973 	3842591 	3843334 	3843932 	3843922 	3844022 	3843615 	3841224 	3837455 	3833278 	3828123 	3670658 	3512855 	3505012 	3496157 p	: 	: 	: 	: 	: 
A,AVG,BE	10251250 	10286570 	10332785 	10376133 	10421137 	10478617 	10547958 	10625700 	10709973 	10796493 	10895586 	11038264 b	11106932 b	11159407 	11209057 	11274196 	11331422 	11375158 	11427054 	11488980 	11538604 	11586195 	11680210 	: 
A,AVG,BG	8170172 	8009142 	7837161 	7775327 	7716860 	7658972 	7601022 	7545338 	7492561 	7444443 	7395599 	7348328 	7305888 	7265115 	7223938 	7177991 	7127822 	7075947 	7025037 	6975761 	6934015 	6877743 	6643324 	: 
A,AVG,BY	10004958 	9970688 	9924766 	9873826 	9824568 	9775307 	9732501 	9702116 	9680841 	9576045 	9480686 	9473172 	9464495 	9465997 	9474511 	9489616 	9501534 	9498264 	9483499 	9441762 	: 	: 	: 	: 
A,AVG,CH	7184250 	7229854 	7284753 	7339001 	7389625 	7437115 	7483934 	7551117 	7647675 	7743831 	7824909 	7912398 b	7996861 	8089346 	8188649 	8282396 	8373338 	8451840 	8514329 	8575280 	8638167 	8704546 	8777088 	: 
A,AVG,CY	694023 	701544 	709630 	718307 	727980 	738540 	750965 	767125 	786632 	808035 	829446 	850881 	863945 	861939 	852504 	847664 	851561 	859519 	870068 	881952 	892006 	900356 	912703 	: 
A,AVG,CZ	10255063 	10216605 	10196916 	10193998 	10197101 	10211216 	10238905 	10298828 	10384603 	10443936 	10474410 	10496088 	10510785 	10514272 	10525347 	10546059 	10566332 	10594438 	10629928 	10671870 	10697858 	10505772 b	10672118 b	: 
A,AVG,DE	82211508 	82349925 	82488495 	82534176 	82516260 	82469422 	82376451 	82266372 	82110097 	81902307 	81776930 	80274983 b	80425823 	80645605 	80982500 	81686611 	82348669 	82657002 	82905782 	83092962 	83160871 	83196078 	83797985 	: 
A,AVG,DE_TOT	82211508 	82349925 	82488495 	82534176 	82516260 	82469422 	82376451 	82266372 	82110097 	81902307 	81776930 	80274983 b	80425823 	80645605 	80982500 	81686611 	82348669 	82657002 	82905782 	83092962 	83160871 	83196078 	83797985 	: 
A,AVG,DK	5339616 	5358783 	5375931 	5390574 	5404523 	5419432 	5437272 	5461438 	5493621 	5523095 	5547683 	5570572 	5591572 	5614932 	5643475 	5683483 	5728010 	5764980 	5793636 	5814422 	5831404 	5856733 	5903037 	: 
A,AVG,EA19	320911189 	322133384 b	323696792 	325443983 	327227733 	328913193 	330444759 	332158476 	333783515 b	334868340 	335659589 	334930757 b	335666945 b	336792803 	338162437 b	339175054 b	340163120 	340897073 b	341716390 e	342105847 bep	342567913 p	342720143 bp	344328232 bp	: 
A,AVG,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	339955941 	339213677 b	339936007 b	341047277 	342398500 b	343383047 b	344335561 	345026926 b	345807259 e	346173052 be	346615173 p	346701478 bp	348184832 bp	: 
A,AVG,EE	1396985 	1388115 	1379350 	1370720 	1362550 	1354775 	1346810 	1340680 	1337090 	1334515 	1331475 	1327439 	1322696 	1317997 	1314545 	1315407 b	1315790 	1317384 	1321977 	1326898 	1329522 	1330932 	1348840 	: 
A,AVG,EEA31	492626351 b	493433530 b	494686518 	496512142 	498495491 	500472237 	502368181 	504362683 	506314732 b	507885623 	509051125 b	508827609 b	509981346 b	511527586 	513378713 b	514907955 b	516386453 	517588682 b	518818581 e	519605603 bep	: 	: 	: 	: 
A,AVG,EFTA	11989066 	12061767 	12144129 	12227454 	12308056 	12391893 	12483428 	12607097 	12768773 	12926797 	13068224 	13220811 b	13372806 	13529716 	13690513 	13839312 	13981012 	14110170 	14217211 	14322301 	14423005 	14524567 	14655711 	: 
A,AVG,EL	10805808 	10862132 	10902022 	10928070 	10955141 	10987314 	11020362 	11048473 	11077841 	11107017 	11121341 	11104899 	11045011 	10965211 	10892413 	10820883 	10775971 	10754679 	10732882 	10721582 	10698599 	10569207 	10436882 	: 
A,AVG,ES	40567864 	40850412 	41431558 	42187645 	42921895 	43653155 	44397319 	45226803 	45954106 	46362946 	46576897 	46742697 	46773055 	46620045 	46480882 	46444832 	46484062 	46593236 	46797754 	47134837 	47365655 	47415794 	47759127 	: 
A,AVG,EU27_2020	428929021 b	429481944 b	430456663 	431976112 	433589156 	435116254 	436521866 	437984240 	439386639 b	440426387 	441041446 b	440260386 b	440905186 b	441958943 	443274551 b	444234821 b	445167186 	445871494 b	446655355 e	447022255 bep	447346360 ep	446904604 bep	447787121 bep	: 
A,AVG,EU28	487821535 b	488601617 b	489827142 	491623688 	493577060 	495517460 	497368686 	499306703 	501193634 b	502702657 	503807810 b	503519196 b	504605401 b	506087216 	507876849 b	509351040 b	510778779 	511930353 b	: 	513858582 bep	: 	: 	: 	: 
A,AVG,FI	5176209 	5188008 	5200598 	5213014 	5228172 	5246096 	5266268 	5288720 	5313399 	5338871 	5363352 	5388272 	5413971 	5438972 	5461512 	5479531 	5495303 	5508214 	5515525 	5521606 	5529543 	5541017 	5556106 	: 
A,AVG,FR	60762169 	61201676 	61644062 	62078165 	62532556 	63001253 	63437350 	63826129 	64178710 	64504541 	64818789 	65127852 	65438667 	65771309 	66312067 b	66548272 	66724104 	66918020 	67158348 	67388001 p	67571107 p	67764304 p	68065015 p	: 
A,AVG,FX	59062385 	59476236 	59893870 	60303631 	60734343 	61181499 	61597486 	61965052 	62300288 	62615472 	62917790 	63223158 	63536918 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVG,GE	4418300 	4386450 	4362050 	4333900 	4318350 	4361396 	4397997 	4388386 	4383750 	4410910 	4452821 	4483434 	: 	: 	4109999 b	3724950 	3723387 	3728004 	3726549 	3720161 	3722716 	3708610 	: 	: 
A,AVG,HR	4468302 e	4300450 b	4305439 	4305555 	4308293 	4311674 	4313009 	4312749 	4310882 	4306322 	4296352 	4282921 	4269062 	4254475 	4236063 	4207993 	4172441 	4129853 	4090870 	4067206 	4047260 	3949330 	3856600 	: 
A,AVG,HU	10210971 	10187576 	10158608 	10129552 	10107146 	10087065 	10071370 	10055780 	10038188 	10022650 	10000023 	9971727 	9920362 b	9893082 	9866468 	9843028 	9814023 	9787966 	9775564 	9771141 	9750149 	9709891 	9644377 	: 
A,AVG,IE	3805174 	3866243 	3931947 	3996521 	4070262 	4159914 	4274137 	4398942 	4489544 	4535375 	4560155 	4580084 	4599533 	4623816 	4657740 	4701957 	4755335 	4807388 	4867316 e	4934340 e	4985382 	5033164 	5165700 	: 
A,AVG,IS	281205 	284968 	287523 	289521 	292074 	296734 	303782 	311566 	317414 	318499 	318041 	319014 	320716 	323764 	327386 	330815 	335439 	343400 	352721 	360563 	366463 	372520 	382003 	: 
A,AVG,IT	56942108 	56974100 	57059007 	57313203 	57685327 	57969484 	58143979 	58438310 	58826731 	59095365 	59277417 	59379449 	59539717 	60233948 	60789140 	60730582 	60627498 	60536709 	60421760 	59729081 b	59438851 	59133173 	59013667 	: 
A,AVG,LI	32645 	33194 	33694 	34079 	34447 	34753 	35037 	35262 	35473 	35742 	36022 	36312 	36657 	36984 	37248 	37494 	37716 	37962 	38246 	38563 	38901 	39182 	39493 	: 
A,AVG,LT	3499536 	3470818 	3443067 	3415213 	3377075 	3322528 	3269909 	3231294 	3198231 	3162916 	3097282 	3028115 	2987773 	2957689 	2932367 	2904910 	2868231 	2828403 	2801543 	2794137 	2794885 	2800839 	2831639 	: 
A,AVG,LU	436300 	441525 	446175 	451630 	458095 	465158 	472637 	479993 	488650 	497783 	506953 	518347 	530946 b	543360 	556319 	569604 	582014 	596336 b	607950 	620001 	630419 	640064 	653103 	: 
A,AVG,LV	2367550 	2337170 	2310173 	2287955 	2263122 	2238799 	2218357 	2200325 	2177322 	2141669 	2097555 	2059709 	2034319 	2012647 	1993782 	1977527 	1959537 	1942248 	1927174 	1913822 	1900449 	1884490 	1879383 	: 
A,AVG,MC	: 	: 	: 	: 	32957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37950 e	37875 e	: 	38300 e	: 	: 	: 	: 	: 
A,AVG,MD	3639591 	3631462 	3623062 	3612874 	3603936 	3595186 	3585523 	3576907 	3570108 	3565604 	3562063 	3559986 	3559519 	3558566 	2856950 be	2834530 e	2802170 e	2755158 e	2708214 e	2663251 e	2618773 ep	: 	2558244 ep	: 
A,AVG,ME	604570 	607224 	609485 	611362 	612817 	613265 	613867 	615084 	616350 	618079 	619426 b	620079 	620601 	621207 	621810 	622159 	622303 	622373 	622271 	622028 	621306 	619211 	617189 	: 
A,AVG,MK	2026345 	2034882 	2031153 	2026773 	2032544 	2036855 	2040228 	2043559 	2046898 	2050671 	2055003 	2058539 	2061044 	2064032 	2067471 	2070225 	2072490 	2074502 	2076217 	2076694 	2072532 	1952961 	1833534 	: 
A,AVG,MT	390087 	393028 	395969 	398582 	401268 	403834 	405308 	406724 	409379 	412477 	414508 	416268 	420028 	425967 	434558 	445053 	455356 	467999 	484630 	504062 	515332 	518536 	531511 	: 
A,AVG,NL	15925513 	16046180 	16148929 	16225302 	16281779 	16319868 	16346101 	16381696 	16445593 	16530388 	16615394 	16693074 	16754962 	16804432 	16865008 	16939923 	17030314 	17131296 	17231624 	17344874 	17441500 	17533044 	17700982 	: 
A,AVG,NO	4490967 	4513751 	4538159 	4564855 	4591910 	4623291 	4660677 	4709153 	4768212 	4828726 	4889252 	4953088 	5018573 	5079623 	5137232 	5188607 	5234519 	5276968 	5311916 	5347896 	5379475 	5408320 	5457127 	: 
A,AVG,PL	38258629 b	38248076 	38230364 	38204570 	38182222 	38165445 	38141267 	38120560 	38125759 	38151603 	38042794 b	38063255 	38063164 	38040196 	38011735 	37986412 	37970087 	37974826 	37974750 e	37965475 e	37899070 ep	36981559 b	36821749 	: 
A,AVG,PT	10289898 	10362722 	10419631 	10458821 	10483861 	10503330 	10522288 	10542964 	10558177 	10568247 	10573100 	10557560 	10514844 	10457295 	10401062 	10358076 	10325452 	10300300 	10283822 	10286263 	10297081 	10361831 bp	10409704 bp	: 
A,AVG,RO	22442971 	22131970 	21730496 	21574326 	21451748 	21319685 	21193760 	20882982 	20537875 	20367487 	20246871 	20147528 	20058035 	19983693 	19908979 	19815616 	19702267 	19588715 	19473970 	19371648 e	19265250 e	19122059 e	19048502 e	: 
A,AVG,RS	7516346 	7503433 	7496522 	7480591 	7463157 	7440769 	7411569 	7381579 	7350222 	7320807 	7291436 	7234099 b	7199077 	7164132 	7130576 	7095383 	7058322 	7020858 	6982604 	6945235 	6899126 	6834326 	6719151 	: 
A,AVG,RU	146596870 	145976473 	145408033 	144667468 	143821212 	143113885 	142487260 	142114903 	141956409 	141909244 	142385523 	142956460 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVG,SE	8872109 	8895960 	8924958 	8958229 	8993531 	9029572 	9080505 	9148092 	9219637 	9298515 	9378126 	9449213 	9519374 	9600379 	9696110 	9799186 	9923085 	10057698 	10175214 	10278887 	10353442 	10415811 	10486941 	: 
A,AVG,SI	1988925 	1992060 	1994530 	1995733 	1997012 	2000474 	2006868 	2018122 	2021316 b	2039669 	2048583 	2052843 	2057159 	2059953 	2061980 	2063531 	2065042 	2066388 	2073894 	2088385 	2102419 	2108079 	2112076 	: 
A,AVG,SK	5388720 	5378867 	5376912 	5373374 	5372280 	5372807 	5373054 	5374622 	5379233 	5386406 	5391428 	5398384 	5407579 	5413393 	5418649 	5423801 	5430798 	5439232 	5446771 	5454147 	5458827 	5447247 	5431752 	: 
A,AVG,SM	: 	: 	: 	: 	29457 	29836 	30184 	31211 	31662 	: 	: 	32620 	33469 	33041 	32655 	32897 	33101 	33825 	34522 	34663 	34770 	34252 	33755 	: 
A,AVG,TR	65809463 	65166331 	66002506 	66794551 	67598736 	68435380 	69295253 	70158112 	71051678 	72039206 	73142150 	74223629 	75175827 	76147624 	77181884 	78218479 	79277962 	80312698 	81407204 be	82579440 be	83384680 	84147318 	84979913 	: 
A,AVG,UA	48889280 	48452256 	48032005 	47632594 	47271271 	46924816 	46607431 	46329000 	46077834 	45872976 	45690386 	45525731 	45412987 	45309293 	: 	42675270 b	42502892 	42315836 	42100165 	41858172 	41575748 	: 	: 	: 
A,AVG,UK	58892514 	59119673 	59370479 	59647577 	59987905 	60401206 	60846820 	61322463 	61806995 	62276270 	62766365 	63258810 	63700215 	64128273 	64602298 	65116219 	65611593 	66058859 	66460344 	66836327 	: 	: 	: 	: 
A,AVG,XK	: 	: 	: 	2000500 	2028500 	2070500 	2113354 	2139924 	2166913 	2194397 	2001144 b	1787101 b	1797814 e	1818119 e	1812788 e	1788274 e	1777568 e	1791019 e	1797086 	1788891 	1790152 e	: 	: 	: 
